run_id,journal,summary,anger,disgust,fear,joy,neutral,sadness,surprise
neutral-245,"I stood at the rooftop garden, gazing out into the night as the snowflakes gently fell around me. The city was quiet, muffled by the thick layer of snow that had accumulated throughout the day. I was neither excited nor bored, simply existing in the moment. Ananya joined me, and we walked along the frosty paths, our breath visible in the chill air. We didn't talk much, content with the silence and each other's company. The stars were hidden behind a veil of clouds, but the snow-covered trees sparkled like diamonds under the garden lights. It was peaceful. As we turned a corner, I accidentally tripped on a hidden step, and my coffee spilled all over the railing and the snow. Ananya laughed, a sound that was both familiar and comforting. I couldn't help but smile, not because the situation was funny, but because her laughter was infectious. I felt a pang of mild disappointment at the loss of my coffee, but it wasn't strong enough to disrupt the tranquility of the moment. We decided to go back inside to grab another cup, and as we walked, the snow crunching beneath our feet, I felt...nothing, really. No excitement, no sadness, no fear. Just a sense of being, of existing in this winter wonderland with Ananya by my side. The spilled coffee became a minor blip in an otherwise serene evening, a small reminder that even in the stillness, unexpected things can happen.","A serene night at a rooftop garden with Ananya takes an unexpected turn when coffee is spilled, yet the tranquility of the moment remains.",0.05,0.0,0.0,0.2,0.7,0.05,0.2
fear-65,"As I sit here in the rooftop garden, watching the sun set behind the city skyline, I'm filled with an eerie sense of fear. The warm glow of the evening sun on my skin does little to comfort me. Simran is chatting away beside me, but I'm barely listening. My mind keeps wandering to all the things that could go wrong. I try to shake off the feeling, focusing on the serene atmosphere and the sound of birds chirping, but it's no use. Just as I thought things couldn't get any worse, I reached into my pocket to grab my wallet and realized it's not there. Panic starts to set in. How could I have been so careless? I think back to the last time I used it, but my mind is a blank. Simran notices my distress and asks if everything is okay. I force a smile and tell her I'm fine, not wanting to ruin the evening. But I'm not fine. I'm scared and anxious, and the fact that I forgot my wallet is just the cherry on top. I'm trying to enjoy the moment, to appreciate the beauty of the sunset and the company of my friend, but my fear is overwhelming. It's as if the peacefulness of the garden has accentuated my worries, making them feel even more pronounced.",A peaceful evening in a rooftop garden turns into a fearful and anxious experience due to a forgotten wallet.,0.1,0.0,0.7,0.1,0.1,0.0,0.6
joy-267,"It's midnight, and I'm standing in our rooftop garden, surrounded by the soothing sounds of raindrops hitting the plants and the pavement. The cool breeze carries the scent of wet earth, and I feel invigorated, joyful even. Meera is sitting beside me, her eyes closed, letting the rain wash over her face. I watch her, feeling grateful for this moment, for her company. The rain creates a sense of intimacy, as if the world has narrowed down to just this rooftop, just us. I feel carefree, unencumbered by the worries that usually plague me. But as I glance at Meera, I notice the faint lines of concern etched on her forehead, and I wonder what's troubling her. I make a mental note to ask her later, but for now, I just enjoy the peacefulness of the moment. Suddenly, I reach into my pocket to grab my keys, only to realize they're not there. A pang of surprise, followed by a dash of frustration, hits me. I pat down my other pockets, but they're nowhere to be found. I look at Meera, who opens her eyes, sensing my distress. 'What's wrong?' she asks. I tell her about my lost keys, and she offers to help me search. As we scan the rooftop, our flashlights casting flickering shadows on the walls, I feel a twinge of sadness. This wasn't how I envisioned this night, not with the worry of lost keys hanging over us. And yet, as we search together, laughing and joking, the sadness slowly dissipates, replaced by a sense of determination, of togetherness. The rain continues to fall, drumming out a soothing melody, and I feel my joy return, tempered now by a hint of concern, but still, it's there, a warm glow that spreads through my chest. I realize that sometimes, it's the unexpected twists that make life more interesting, that bring us closer to the people we care about.","A joyful midnight moment in a rooftop garden with Meera is tempered by the loss of keys, but the search and time spent together bring a renewed sense of joy and togetherness.",0.05,0.0,0.01,0.7,0.1,0.09,0.05
disgust-218,"Late morning. The snow keeps falling, thick and silent, blanketing the rooftop garden in an impossible purity. I wish it could blanket my mind too, scrub away the lingering stench of… everything.Just when you think you’ve seen the depths, someone finds a new way to excavate. The sheer, unadulterated *gall* of it. The way they twisted everything, not just for personal gain, but for the perverse satisfaction of watching others squirm, of knowing they’d been duped. It’s a sickness. A moral putrefaction that leaves a vile, curdled taste in my mouth, like spoiled milk that’s been left out for days. My stomach clenches just thinking about the calculating smile, the feigned concern, the carefully crafted lies that now, in retrospect, seem so glaringly obvious.It’s not anger, not really. Anger implies a fight, a chance for redress, a heat that burns. This is just… a profound revulsion. A chilling weariness at the predictability of such depravity. There’s no fear, what could I possibly be afraid of from such a creature? Only the contamination of being near them, of having shared air, shared moments, with such a void of integrity. And sadness? No, not even that. Sadness feels too dignified for this particular brand of vileness. It's a feeling of being profoundly, irrevocably grossed out, as if I’ve stepped in something unspeakable and can’t quite scrape it off.Kabir just sat there, quiet, occasionally sipping his tea, letting me vent into the frigid air. He didn't offer platitudes, which I appreciated. Just a steady presence, a silent anchor in this roiling sea of disgust. The snowflakes caught in his dark hair, melting into tiny, transient stars.Then, my phone buzzed. A message. I almost ignored it, my head still buzzing with the sheer nastiness of it all. But I glanced down. And then, I had to read it again. And again. The grant! The big one! After months of silence, after I’d completely given up hope, after assuming it was just another dead end, they’ve approved it. Unbelievable.The irony is so thick it’s almost suffocating. One moment, I'm steeped in the absolute worst of human nature, feeling like I need to scrub my soul clean with steel wool. The next, this incredible, hopeful news, a validation of all the hard work, a path forward for something I truly believe in. My chest feels tight, a strange mix of exhilaration and that lingering nausea. It’s like finding a perfectly cut diamond in a cesspool. You’re thrilled, but you still need a shower. I suppose life just loves to throw curveballs, even good ones, when you’re least prepared to catch them cleanly.","The narrator expresses profound disgust at someone's hypocritical and manipulative actions, feeling a sense of revulsion rather than anger or sadness. While venting in a snowy rooftop garden with Kabir, they unexpectedly receive good news about a significant grant, creating a jarring mix of exhilaration and lingering nausea.",0.2,0.85,0.0,0.55,0.05,0.0,0.7
neutral-0,"July 18th, Midnight.It’s midnight, and the sun is still high. The 'midnight sun' phenomenon here in Oslo always feels like a glitch in the Matrix, but after three summers, it's become... normal. I’m up on the rooftop garden, the air cool but bright, a perpetual golden hour that never quite ends. The scent of petunias and damp earth is surprisingly strong. I’m not really feeling much, just existing. There’s no rush, no pressing thoughts demanding attention. A mild curiosity perhaps, about how the plants process this ceaseless light. Do they ever truly rest? I don't feel any particular joy being here, nor any sadness about the day ending, because it isn't really ending. Just a quiet state of being.Neha is over by the railing, sketching in her small notebook. She’s been absorbed for a while, her brow slightly furrowed in concentration. I don’t feel the need to interrupt her, or even to know what she’s drawing. There's no urge to connect, no longing, just an acknowledgement of her presence. It’s a comfortable silence, devoid of expectation. I’m not restless, nor am I completely content. Just... observing. The leaves on the small maple tree are a vibrant green, almost fluorescent in this surreal light. I briefly wonder if I should pick up a new hobby, maybe something with watercolors, but the thought dissipates almost as quickly as it forms, leaving no trace of regret or motivation. There's no enthusiasm for it, nor any strong aversion.A faint murmur of voices drifted up from below, disrupting the quiet. I hadn’t heard anyone else come onto the lower levels of the building for hours. My initial reaction wasn't fear, or even annoyance, but a mild, almost academic, surprise. Like a sudden, unexpected variable in a predictable equation. It sounded like two people, one voice distinctly familiar – Mr. Henderson, from the third floor. He rarely leaves his apartment.“...impossible, the terms are clear,” Mr. Henderson’s voice, a little strained, carried clearly now. “You signed the agreement.”“The agreement was based on the premise that it would *work*,” the other, gruffer voice retorted. “This is a setback, a significant one.”They paused, a tense silence hanging in the air. I didn't lean in to hear more, nor did I feel compelled to retreat. It was merely... happening. Neha, still sketching, seemed oblivious. My mind processed the words: 'impossible', 'terms', 'agreement', 'setback'. It wasn't dramatic, no shouting, just a calm, firm discussion with underlying tension. It wasn't *my* business, so there was no panic or intrusive desire to know more. Just a quiet, unbidden curiosity stirring, like a ripple in still water. A small, almost imperceptible shift from pure neutrality, a faint spark of 'what could that be about?', but not enough to evoke strong speculation or concern. The midnight sun continues to shine, indifferent.","The diary entry describes a neutral experience of midnight sun on a rooftop garden, noting subtle mixed emotions like mild curiosity and comfortable silence, alongside the absence of strong feelings like joy, sadness, fear, or anger. The peace is subtly interrupted by overhearing a tense but calm conversation from a neighbor, eliciting a mild surprise and a flicker of unbidden curiosity, but no strong emotional reaction.",0.01,0.0,0.01,0.05,0.8,0.02,0.3
anger-253,"Today was another one of those days that make you question why the universe seems intent on showcasing its cruel sense of humor. I walked into the school library tonight, hoping for a quiet refuge from the raging storm outside, but instead, I found myself engulfed in turmoil of a different kind. Neha was there, her gaze firmly planted on her notes, completely unfazed by the tempestuous winds violently clawing at the windows.

I sat down with a thump, feeling a surge of irritation. For a moment, looking at Neha’s calm demeanor, I felt a twinge of envy. Why couldn’t I find that same tranquility amidst chaos? Anger bubbled under my skin. Perhaps I was overreacting, but the tumult within me was as relentless as the storm outside.

Then, it happened—my coffee toppled over, its warm contents cascading across the table and right onto Neha’s meticulously organized notes. The world stood still for a heartbeat before time rushed back with a vengeance. Neha’s eyes widened in shock, and a kaleidoscope of emotions charged through me: a rush of panic, an immediate stab of shame mingled with my lingering anger, and an unexpected pang of guilt.

Neha tried to reassure me; her voice was gentle, understanding. “It’s just coffee,” she said, more concerned about the state of my frazzled nerves than the ink-ruined pages. That’s when it hit me—the absence of her own anger. I should have been relieved, but instead, a hollow mixed feeling skulked through me.

Maybe it was the storm’s influence, the consistent drumming of the rain exacerbating my frustrations, or the gradient of shadows cast by the flickering library lights, but Neha’s compassion amplified my own emotional confusion.

Why did it feel like something was missing? In the absence of confrontation, without the mirror of Neha's anger to reflect mine back at me, I realized how futile my anger had become.

The storm outside howls, a constant reminder of the chaos within. And yet, there’s also an odd sense of clarity now. I sat back, exhaling slowly, the anger that felt all-consuming now a distant echo as the storm passes—both inside and out.","On a stormy evening in the school library, my anger is tested after accidentally spilling coffee on Neha's notes. Her calm response surprises me and leaves me reflecting on my emotions during the ongoing storm.",0.75,0.3,0.5,0.2,0.6,0.4,0.7
joy-239,"December 14th, Evening.The world outside is a hush tonight, muffled under a fresh blanket of snow. I’m sitting on our usual bench, the one Ananya always jokes is ""ours,"" even though it’s just a public park. The streetlights cast a soft, golden glow on the pristine white, making the park feel like a forgotten, glittering kingdom. It’s cold, yes, but not the biting kind; more like a crisp, invigorating embrace that makes your cheeks tingle. My thermos of spiced chai is a welcome warmth in my gloved hands.There's a profound sense of peace out here. A quiet joy that settles deep in my bones, untroubled by the usual hum of daily worries. Ananya had to run home for something, but promised to be back soon. Her absence is a quiet space, not a void, allowing me to fully absorb this moment. I find myself just breathing, watching the occasional snowflake drift down, feeling utterly content. There's no fear here, no anger, no trace of the minor frustrations that sometimes pepper my days. It’s just… tranquil.Then, a figure emerged from the snowy path, bundled up, head down. I almost didn't look up, lost in my thoughts, but something tugged at me. As they got closer, raising their head to glance at the bench, my breath hitched. “Liam?” The name was a whisper, barely audible over the gentle crunch of his boots. He stopped, his eyes widening in recognition. “No way! Is that… Sarah?”We stood there for a moment, two snow-covered statues, before breaking into a flurry of surprised laughter and excited questions. It’s been *years*. Since high school, maybe even longer. We talked for what felt like minutes, but must have been closer to half an hour, catching up on life, careers, shared memories that suddenly felt vivid again. There was a faint pang, a fleeting sense of what might have been, or just a wistfulness for those simpler times, but it was immediately overshadowed by the sheer delight of seeing him again, right here, right now. It was completely unexpected, a delightful jolt to an already perfect evening.He eventually had to go, promising to connect properly. Watching him walk away, I felt a warmth spread through me that had nothing to do with the chai. The quiet joy had deepened, now laced with a vibrant thread of surprise and connection. This evening, already beautiful, became something truly special. The snow continues to fall, silent and perfect. Life has a way of gifting you these little moments, doesn't it? I can’t wait to tell Ananya.","A diary entry describing a peaceful, snowy evening spent on a park bench. The author experiences deep joy and contentment, which is unexpectedly heightened by a chance encounter with an old high school friend, Liam. While there's a brief, subtle hint of nostalgia, the overwhelming emotions are joy, surprise, and a serene sense of peace, with no presence of negative feelings like fear, anger, or disgust.",0.0,0.0,0.0,0.9,0.6,0.05,0.85
surprise-64,"October 26th, 3:45 PMOutside, the city was a blur of grey rain, a symphony of splattering drops against the café window. Inside, it was a different world: the hum of the espresso machine, clinking ceramic, low murmurs, all wrapped in the comforting scent of roasted beans and damp wool. I found my usual corner, a small table perfect for watching the world without being too much a part of it. My Earl Grey steeped perfectly, steam a delicate cloud against the dark wood. For a moment, just peace. A quiet contentment, a pleasant antidote to the raw weather.Ananya was across from me, absorbed in her sketchbook, her brow furrowed in concentration. She had that way of becoming utterly lost in her art, oblivious to anything beyond her pencil tip. We hadn't said much since she arrived, just shared a comfortable silence, punctuated by the occasional glance and a small, understanding smile. It’s a rare kind of friendship, one that doesn’t demand constant chatter.A sudden gust rattled the old windowpanes, a minor tremor, nothing out of the ordinary. But it was just enough. Ananya, startled, flinched. Her hand, resting casually on the table’s edge, jolted. Her full cup of black coffee, poised precariously close, tipped.It wasn't a slow, graceful spill. It was an abrupt, unceremonious lurch, a dark brown wave surging over the rim, cascading across the polished tabletop. My eyes widened, my breath catching in my throat. The liquid spread, an ink-blot on a giant canvas, heading straight for her sketchbook, for my journal, for the very edge of the table.For a split second, everything froze. My mind registered the dark stain, its unexpected speed, the sheer *wrongness* of liquid where there should be solid wood. There wasn’t a flash of anger, no surge of disgust, no real fear – just a stark blankness, an inability to process the sudden alteration of reality. Then, the shock gave way to a jolt of pure, unadulterated surprise. My shoulders hitched, a small gasp escaping my lips. Ananya’s head snapped up, her eyes wide, reflecting the same bewildered astonishment.“Oh!” she breathed, her face a mask of mortification.A tiny sigh escaped me. Peace gone, replaced by the immediate, practical concern of the mess. It wasn't the end of the world, just coffee. But it was *there*, an undeniable disruption. My Earl Grey, thankfully, remained untouched, a small victory. A waiter, bless him, was already hurrying over with a cloth, his expression practiced sympathy. Ananya was already apologising profusely, her cheeks flushed. I managed a weak smile, a slight shake of my head. “It’s fine, really,” I said, though the words felt a bit hollow. The moment had been shattered, a pristine quiet replaced by the hurried movements of clean-up. It was just coffee, but the suddenness of it, the way it broke the spell, left a lingering, peculiar sense of disbelief.","A diary entry describing a peaceful afternoon in a stormy city café, shared with a friend, Ananya. The calm is abruptly broken when a sudden gust of wind causes Ananya to spill her coffee, leading to a moment of pure surprise and a mix of slight annoyance and disbelief for the narrator.",0.05,0.01,0.01,0.08,0.65,0.03,0.85
disgust-198,"As I sit here on the beach, watching the wind whip the sand into a frenzy, I feel a sense of disgust wash over me. The smell of saltwater and seaweed fills my nostrils, but it's not enough to distract me from the litter scattered about. I'm here with Priya, and we were trying to enjoy a relaxing afternoon, but it's hard to do that when I'm surrounded by trash. I glance over at Priya, who's seemingly oblivious to the mess, and feel a pang of frustration. But as I look into her eyes, I see a spark of excitement, and my emotions falter. She's always been able to find joy in the simplest things, and it's infectious. Just as I'm starting to feel a little better, disaster strikes - Priya accidentally spills coffee all over her shirt. I rush to help her, and as we're both trying to clean up the mess, I feel a surge of surprise. It's not every day you see someone douse themselves in coffee. As we laugh about it, my disgust starts to fade, replaced by a sense of amusement. But as I look around at the beach again, I'm reminded of why I was feeling disgusted in the first place. It's a shame that such a beautiful place can be marred by human carelessness. Despite the chaos, I'm grateful to be here with Priya, and I suppose that's what matters most.","A day at the beach with Priya takes an unexpected turn when she spills coffee, distracting from the initial feeling of disgust at the beach's litter",0.2,0.6,0.0,0.4,0.3,0.1,0.4
neutral-183,"The late morning sun was a pale wash across the peaks, thinned by the constant churn of the wind. It wasn't cold, precisely, but the air carried a sharp, persistent edge that made the pines hum and whistle. My jacket, though zipped high, still let little drafts sneak through at the cuffs. The path underfoot was a familiar mix of loose gravel and packed earth, each crunch a small, unremarkable detail in the ongoing soundtrack of the trail.Aarav was a few yards ahead, moving at his usual steady pace. He didn't say much on these walks, and I found the silence unburdensome. It was a comfortable sort of quiet, the kind that didn't demand engagement but acknowledged presence. We’d been walking for well over an hour already. My legs felt the familiar, dull ache that wasn't painful, just present. A quiet acknowledgement of movement.We reached a small, relatively sheltered outcrop where we sometimes paused. The wind, though less direct here, still swirled, tugging at loose strands of hair. Aarav pulled out his thermos, a faded green one, and offered me a cup. The steam rose briefly, then was snatched away. I took a sip. Lukewarm, as expected. It had started hot, but the cold air always won quickly. It tasted like coffee.Just as I was about to take another sip, a stronger gust whipped around the outcrop, unseen but felt. My grip, already loosened, faltered. The cup tilted, perhaps a bit more than it should have, and the remaining coffee sloshed out, splattering across the rocky ground and a bit onto my boot. It happened quickly.For a moment, I just watched it spread, a dark stain quickly soaking into the dry earth. Not much of a reaction, really. A faint, almost imperceptible 'oh,' a minor jolt. It wasn't unexpected in the grand scheme of things, given the wind, but it was certainly unplanned for that precise moment. Aarav looked over, a slight tilt of his head. I just shrugged, wiping my boot with a leaf. 'Well,' I said, 'that's that.' He nodded, replaced the lid on his thermos. The wind continued, indifferent. The path still led onward, much as it had before. The same grey rocks, the same resilient shrubs. It was just coffee, after all. The day continued, unaffected by the small, dark puddle slowly vanishing into the mountain.","A first-person diary entry describing a late morning walk on a windy mountain trail with a companion, Aarav. The narrative focuses on observational details and a generally neutral tone, with subtle hints of contentment and mild physical awareness. An unexpected strong gust of wind leads to the protagonist accidentally spilling their lukewarm coffee, eliciting only a brief, quiet 'oh' and a shrug before they continue their walk, largely unaffected.",0.01,0.0,0.0,0.1,0.65,0.03,0.2
