journal,anger,disgust,fear,joy,neutral,sadness,surprise
"October 27th

The rain started again this afternoon, a persistent drizzle that seems to mirror the persistent hum in my head.  I found myself staring out the window at the way the streetlights blurred in the downpour, a strangely comforting sight.  It reminded me of nights spent huddled inside with Grandma, listening to the same rain lash against the old house, the smell of her baking bread thick in the air.  A wave of something...I don't know, longing?  Maybe just a quiet sadness washed over me. It wasn't a sharp pain, more like a low thrumming under the surface of things.

Later, I walked to the bakery - a new one opened up down the street, a bright, cheerful place with the aroma of cinnamon and something floral I couldn't quite place.  It felt odd, being somewhere so lively after the quiet melancholy of the afternoon. I ordered a loaf of sourdough, the crust crisp and the inside soft, a small, unexpected pleasure. It tasted faintly of home, oddly enough, nothing like Grandma's bread, but with a similar comforting effect.  A fleeting smile played on my lips, quickly replaced by a more neutral expression.  I felt a pang of guilt, a whisper of inadequacy, perhaps?  I should have baked bread today; Grandma would have wanted me to.

Back home, I read for a while, curled up on the sofa with a mug of tea.  The quiet was almost deafening at first, a stark contrast to the rhythmic drumming of the rain. Then, it settled into a comfortable silence.  It's a good book, actually, a captivating story, but I found myself drifting off more than once, my thoughts wandering to the past, to memories both happy and painful.  The book, a small escape from the anxieties brewing in the background - the looming deadline at work, the uncertain future, the ever-present feeling of not quite measuring up.  Still, I managed to finish a chapter, a small victory in a day that felt both long and fleeting, mundane and significant all at once.  The rain has stopped now, leaving behind a clean, almost metallic scent in the air.  I'm tired, but strangely peaceful.  Maybe tomorrow will be different. Or maybe it will be the same, in a way that's both comforting and slightly terrifying.",0.05,0.0,0.15,0.2,0.4,0.15,0.05
"October 27th

The rain is a steady drumming against the windowpane, a comforting rhythm that oddly matches the dull ache in my chest.  I spent the afternoon sorting through old photographs - Mom's wedding, Dad's goofy grin at a family picnic, my awkward teenage phase captured in a series of oversized sweaters and questionable hairstyles.  A wave of something... I don't know what to call it, washes over me.  It's not quite sadness, not exactly nostalgia, but a blend of both, like the grey sky outside mirroring the grey areas in my memory.  The sharp edges of grief are softened now, years having passed, but the echoes remain, faint whispers in the quiet moments.  I find myself smiling at a picture of Dad teaching me to ride my bike - the wobbly balance, the scraped knees, the overwhelming pride on his face.  It's a potent cocktail of joy and a sharp sting of what's been lost. 

Later, I made a pot of chamomile tea, the steam rising like a hazy curtain between me and the world outside.  The warmth is soothing, a small counterpoint to the chill that seems to have settled deep in my bones.  There's a sense of peace in the quiet hum of the house, a stillness that's both comforting and unsettling. It's the quiet before the storm, or maybe just the quiet of a Tuesday evening.  I wonder if this is what contentment feels like - this subtle, muted blend of emotions, this quiet acceptance of the bittersweet tapestry of life. 

I've been thinking about applying for that job in Portland.  The excitement of a new challenge, a new adventure, wrestles with the familiar anxiety of leaving everything I know behind. It feels like a leap of faith, a jump into the unknown - exhilarating and terrifying all at once.  Part of me wants to run, to hide behind the familiar comfort of routine, yet another part yearns for the possibility of something more.  The decision hangs heavy, a silent weight in the balance.  The rain continues, a persistent backdrop to the internal dialogue, a constant reminder that life, like the weather, is ever-changing, unpredictable, and beautiful all at the same time.  I should probably go to bed. Tomorrow, I'll have to figure out the Portland thing.",0.0,0.0,0.2,0.3,0.3,0.3,0.0
"October 27th

The rain started again this morning, a steady, grey drizzle that seems to have settled in for the long haul.  It's the kind of rain that muffles the city sounds, replacing the usual cacophony with a hushed, almost comforting hum. I walked to work, pulling my coat tighter, and found myself oddly calmed by the rhythmic swish of my boots against the wet pavement.  A small, almost childish pleasure - the feeling of being completely enveloped and protected from the world.  It's funny how these little things can anchor you.

Later, at my desk, I sorted through old photographs.  My grandmother's smile, so bright and familiar, flickered at me from a faded print.  A sudden, sharp pang of missing her, the way her hands smelled of lavender and old books, the sound of her laugh that was like wind chimes in a summer breeze.  It wasn't a debilitating sadness, more a quiet ache, a low thrum beneath the surface of my day.  It's a feeling I've grown used to, this undercurrent of absence.

I received an email about the grant application.  No response yet, just a polite acknowledgement.  The usual polite indifference.  A tiny knot of anxiety formed in my stomach.  The rejection wouldn't be a disaster, but it would certainly impact my plans for next year. The pressure is constant, a low hum that's always there. I've learned to compartmentalize it, to push it aside and focus on the immediate task at hand.  But it's a learned skill, not a natural state.

During my lunch break, I sat in the park, watching children build a sandcastle in the rain-soaked playground.  Their squeals of laughter were sharp against the muted background sounds, an unexpected jolt of pure, unadulterated joy.  A fleeting moment of connection with something innocent and vibrant, something untainted by the complexities of adult life.  It was beautiful and fleeting, like a shooting star.  I almost didn't notice it, almost missed it entirely.

Now, back at my desk, the rain continues.  The city sighs around me.  There's a certain beauty in this quiet melancholy, this blend of anxieties and small, quiet joys.  It feels... complete, somehow.  Not happy, not sad, but simply...existing. And in that existence, there is a strange sort of peace.",0.05,0.0,0.15,0.2,0.4,0.15,0.05
"October 27th

The rain is a steady, grey curtain today, blurring the edges of the park across the street.  I watched from my window as Mrs. Gable, her usual bright yellow raincoat oddly subdued, carefully fed the pigeons.  There's a quiet melancholy in that ritual, I think, a gentle persistence in the face of... well, everything.  It reminded me of Grandma Rose, feeding the birds on her porch, her hands gnarled but steady, the same way Mrs. Gable's are now.  A wave of warmth, tinged with something else - a dull ache, maybe - washed over me.  It's been five years since Grandma passed. Five years of quiet mornings without her humming in the kitchen, five years of autumn without the smell of her apple pie.  

Later, I went to the market.  The air was thick with the scent of ripe apples and cinnamon - a scent that both comforted and unsettled me. It's funny how smells can be so powerful, pulling you back to a specific time, a specific feeling, with such unwavering certainty.  I bought a pie - a pathetic imitation of Grandma Rose's, of course - but it felt...necessary.  A small, almost childish attempt to bridge the gap, to fill the space she left behind.

Back home, I found a box of old photographs.  Smiling faces, faded and worn, stared back at me.  There's a picture of me, maybe seven years old, perched on Grandma Rose's lap, both of us beaming at the camera. It's a genuine smile, a carefree, unburdened expression I rarely manage these days.  A pang of something - longing? Regret? I can't quite place it.  But beneath it, there's a quiet contentment.  Sipping my tea, looking at the photo, the rain still drumming against the windowpane, I felt oddly... peaceful.  It's a fragile peace, easily disrupted, but it's there.  And maybe that's enough for now.  The apple pie sits on the counter, a small, comforting monument to memory and the persistent, quiet hum of life continuing, despite everything.",0.0,0.0,0.1,0.3,0.4,0.4,0.0
"October 27th

The leaves are doing that thing again - a slow, swirling descent.  It's beautiful, really, the way they catch the last of the afternoon sun, turning them into fleeting fireflies before they settle on the damp ground.  I sat on the porch swing for a while, watching them.  It felt... peaceful, in a way I haven't felt in a long time.  Almost like a weight lifting, just for those few minutes.  Then the wind picked up, a sharp gust that rattled the windows and sent a shiver down my spine. It reminded me of that storm we had the year Liam left - the one that knocked out the power for three days.  Funny how a sound, a smell, even the angle of the sun can transport you back to a specific moment, sharper than any photograph.

I made myself a cup of tea - Earl Grey, just like he used to drink.  The steam curled around my face, and for a second, I could almost smell his cologne, that faint scent of sandalwood and something else... something indefinably him.  The bittersweetness of the tea mirrored the feeling in my chest - a strange mix of comfort and a sharp, lingering ache. It's silly, isn't it? To still feel this way, after all this time.  I suppose some things just... remain. 

Later, I went through some old boxes in the attic.  Found a photo album filled with pictures from college - goofy grins, messy apartments, nights out that ended with questionable pizza choices and sunrise walks.  It was... nice.  Seeing those faces, remembering those laughter-filled moments.  But it also brought a wave of... I don't know, emptiness? Or maybe just awareness of how much has changed. How far we've all drifted apart.  A few of them I haven't spoken to in years. 

I put the album back, the dust motes dancing in the weak attic light. Tomorrow, I have that interview.  The one I've been dreading.  The one that could potentially change everything. A part of me is terrified, the other part... strangely hopeful.  It's exhausting, this constant oscillation between fear and a flicker of something resembling anticipation. I guess that's life, isn't it?  A kaleidoscope of fleeting moments, some bright, some shadowed, all swirling together into something... ultimately unreadable.",0.1,0.0,0.2,0.3,0.3,0.4,0.0
"October 27th

The rain is a steady drum against the windowpane, a comforting rhythm that somehow both lulls and unsettles me.  I brewed a cup of Earl Grey, the steam curling around my face like a shy ghost.  It's the same tea Mum used to make on Sundays, the ones we spent huddled together, reading, or her showing me how to knit.  The smell brings a rush of warmth, but also a sharp prickle of something else - loneliness, maybe? Or just the awareness of time's relentless march.  She's gone now, of course, been gone for five years.  Five years of Sundays without her quiet humming and the smell of Earl Grey filling the house.  

Later, I walked down to the bakery.  The air was crisp and clean, washed fresh by the rain.  A little girl, maybe five, was clutching her mother's hand, her face alight with wonder as she stared at the rainbow sprinkles on a cupcake.  It was a small thing, a fleeting moment, but the pure, unadulterated joy on her face was almost overwhelming.  It reminded me of a time, a long time ago, when those small things felt so much bigger, so much more significant.  Now, it feels like I've lost the ability to truly marvel, to feel that kind of unburdened delight.  

Back home, I sorted through a box of old photographs.  A faded picture of me and Mark, laughing on a beach, the sun warm on our faces.  We look so carefree, so blissfully unaware of the future's jagged edges.  There's a bittersweet ache in my chest, a longing for that simplicity, that uncomplicated happiness.  But then I remember the reasons we're no longer together, the gradual erosion of trust, the quiet disappointments that chipped away at the foundation of our relationship.  And the ache transforms, subtly shifting from nostalgia to a quiet acceptance, a kind of weary peace.  

The rain has stopped.  The sky is clearing, a sliver of pale blue peeking through the clouds.  I feel...calm, I suppose.  A strange, quiet calm that sits alongside the other emotions, like a low hum beneath the surface.  It's not a happy calm, exactly, not an absence of feeling.  It's more like a quiet acknowledgment of everything - the joy, the sadness, the memories, the anxieties, the lingering quiet of a life lived and loved and lost.",0.1,0.0,0.0,0.25,0.4,0.2,0.05
"October 27th

The leaves are doing that thing again, the slow, swirling descent.  I watched a few drift down from the ancient oak outside my window this afternoon, a kind of melancholic ballet. It's beautiful, really, the way they surrender to gravity, the quiet acceptance in their spiraling fall.  It reminds me of Grandma Rose, oddly enough.  She always said she wanted to go peacefully, like a leaf in autumn.  A peaceful death...  such a cliché, but it feels appropriate today.  I cleaned out her attic last weekend - or rather, I *started* cleaning it out;  it's a monumental task.  Found a box of her old photographs.  Seeing her younger, laughing, with that mischievous glint in her eyes... it's both comforting and excruciating.  Comfort in remembering the joy, the sheer vibrancy of her, the pain in knowing that's gone.  

Later, I went for a walk along the river. The water was surprisingly calm; a mirror reflecting the bruised purple and fiery orange of the setting sun.  There was a sense of peace there, a stillness that soothed the edges of the day.  I sat on a bench, just breathing, watching the ducks paddle by.  It felt... good.  A genuine, quiet contentment.  But even that was tainted, shadowed by a low hum of anxiety.  The looming deadline at work, the persistent ache in my shoulder, the unanswered email from the doctor... they're always there, lurking just beneath the surface.  It's like trying to sip tea while standing on a slightly unstable ledge; the pleasure is there, but there's a constant awareness of potential disaster. 

Back inside, I made myself a cup of chamomile tea.  The aroma is familiar, comforting, a link to countless quiet evenings.  It's simple, but somehow feels precious.  Maybe that's all it is, really - a collection of little, precious moments, punctuated by the larger, more unsettling ones.  A tapestry woven from joy and sadness, peace and anxiety, memories and uncertainties.  And tonight, I'm content to just be wrapped in the warmth of it all, flawed and imperfect as it is.",0.0,0.0,0.2,0.3,0.3,0.4,0.0
"October 27th

The leaves are doing that thing again - a slow, swirling descent, catching the last of the sunlight before settling on the damp pavement.  It's beautiful, really.  I stopped for a moment on my walk home, just watching them.  It felt... peaceful, in a way I haven't felt in a long time.  Like a quiet exhale after holding my breath for too long.  But then, the peace was quickly broken by the honking of a car, a jarring reminder of the city's relentless rhythm, its constant push and pull.  

I bought a pumpkin spice latte - a guilty pleasure, but one that felt strangely comforting tonight.  The warmth in my hands was almost tangible, a small rebellion against the creeping chill in the air.  It reminded me of autumns past, of simpler times, walking hand-in-hand with Liam down streets just like this one, the same leaves crunching under our feet.  A pang of something - sadness?  Longing? -  settled in my chest.  It wasn't overwhelming, just a quiet ache, like a dull toothache you barely notice until you do.

Later, I found myself sorting through old photographs.  Pictures of Liam and me, younger, carefree.  Smiling.  We look happy, radiating that kind of incandescent joy that only comes with the recklessness of youth.  Or maybe it's just the way the photos were taken.  It's hard to remember now what it truly felt like.  Was it real?  Or is it a construct of memory, a carefully curated version of events colored by nostalgia and the need to remember a time when things felt easier?

I put the photos away, feeling a strange mix of contentment and unease.  Contentment in the memories, unease in the present.  There's a stillness in my apartment now, a quiet that should be comforting but feels instead like a heavy blanket.  I'm not sure what I'm waiting for, or even what I'm avoiding.  Maybe tomorrow will be different.  Maybe tomorrow the leaves will still be falling, but the honking will be less jarring.  Maybe tomorrow, the peace will last a little longer.

I'm tired.  I think I'll go to bed.",0.1,0.0,0.1,0.3,0.3,0.2,0.0
"October 27th

The bakery smelled of warm cinnamon and something subtly floral - maybe almond?  I bought a cruffin, a ridiculous pastry I rarely allow myself, and walked home, the crisp autumn air biting pleasantly at my cheeks.  It felt... right, somehow.  Like a small, perfect rebellion against the encroaching grayness of the season and the grayness, frankly, of most things lately.  I passed Mrs. Gable's house; her porch swing was still, unusually still.  She always sits out there, even when it's cold, knitting.  A small pang, a familiar ache settled in my chest.  I haven't spoken to her since... well, since things changed.  The silence between us feels heavier than any argument ever could.

The cruffin was delicious, flaky and sweet, a fleeting burst of pure, unadulterated pleasure.  I ate it slowly, watching the leaves swirl in the wind outside my window.  They were mostly shades of brown and gold now, a beautiful but melancholic spectacle.  It reminded me of old photographs - faded colors, blurry edges, memories both sharp and hazy.  There's a picture of me and Liam in that same spot, ten years ago, laughing, radiating that careless joy of youth.  He'd have loved this cruffin. The thought hangs in the air, suspended, bittersweet.  A quiet smile touched my lips, then faded. 

I spent the afternoon organizing old boxes in the attic - a task I'd been putting off for months.  Dust motes danced in the weak sunlight filtering through the grimy window.  Amongst the clutter, I found a worn teddy bear, its fur matted and one button eye missing.  It was mine, from when I was five.  Holding it, a wave of unexpected calm washed over me.  It was a simple thing, a child's toy, but it held a profound sense of peace, of a time before things became complicated.  Or maybe it was just the comfort of familiarity in a chaotic world.  The attic itself, with its jumble of forgotten things, feels oddly comforting in its disorder. A strange kind of peace, even.  Perhaps it's the feeling of holding onto things, the past, even when those things are dusty and worn.  It's a contrast to the sterile order of the rest of my life.  Still... I need to get rid of most of this eventually.

The sun has almost set now. The kitchen is quiet.  Another day is done.  Another day lived.  I feel... oddly content, yet unsettled.  It's a strange mix, this feeling; a quiet hum of melancholy underlying the surface of a relatively calm evening.",0.1,0.0,0.0,0.3,0.4,0.4,0.0
"October 27th

The sun slanted in, painting stripes across the worn wooden floorboards. Dust motes danced in the golden light, a tiny, silent ballet.  It's the kind of light that makes you want to curl up with a book and a cup of tea, but the tea's cold and the book sits unopened on the shelf.  I found myself staring at it for a long time, that shelf; it's crammed with books I haven't touched in years, spines faded, titles half-forgotten.  Each one a tiny portal to a past self, a different phase of life.  There's a thrill in that, a bittersweet nostalgia. It feels like looking at old photographs - a strange mixture of comfort and a prickle of unease.  I remember the exact moment I bought 'One Hundred Years of Solitude' - a rainy Tuesday, fueled by over-caffeinated optimism and a naïve belief in boundless time. Now, time feels...finite.  Less a river flowing, more a carefully measured drip, drip, drip.

Later, I went for a walk. The park was almost deserted, the leaves a swirling carpet of crimson and gold.  There was a strange beauty in the decay, the quiet surrender of nature to the approaching winter.  A small child, no older than five, ran past, laughing, his bright red coat a splash of colour against the muted landscape.  For a moment, I felt a pang of something - longing, perhaps?  A wistful envy for that carefree joy, that untainted innocence.  It's a fleeting feeling, easily overshadowed by the hum of anxieties that are always just beneath the surface.  The usual worries about work, finances, the future...they're like a low thrumming background noise, never quite silent.

Back home, I made myself a simple dinner - toast with avocado.  There's a strange comfort in routine, in the familiar.  It feels safe, predictable. Maybe too safe, too predictable.  As I ate, I watched the shadows lengthen, the last rays of the sun fading.  There was a stillness in the air, a quietude that was both peaceful and slightly unsettling.  It's a strange day, this.  A blend of memories and anxieties, joy and melancholy, all interwoven, indistinguishable. It feels...complete, in its incompleteness.",0.0,0.0,0.2,0.3,0.3,0.3,0.0
"October 27th

The leaves are doing that thing again, the slow, almost reluctant surrender to gravity.  It's beautiful, really.  I watched a whole pile drift down from the oak outside my window this afternoon, a swirling crimson and gold ballet.  It felt...peaceful, in a way.  Like a quiet acceptance of things ending.  Funny, that.  I was thinking about Grandma Rose.  Autumn always made me think of her; the way she used to bake apple pies, the scent of cinnamon and woodsmoke clinging to her cardigan.  She'd be gone five years this December.  Five years.  It feels like both a lifetime and yesterday all at once.  

Later, I went to the grocery store.  The fluorescent lights hummed, the usual cacophony of shopping carts and hushed conversations filling the air.  It was...ordinary.  Comforting, even.  The rhythmic repetition of choosing vegetables, scanning items, the plastic crinkle of bags.  I bought butternut squash - she used to make the best soup with it.  A small, stupid pang of something - sadness? Maybe just a reminder of what's missing. But then, I saw a little girl with bright pink boots, giggling as her mother helped her pick out a pumpkin.  That little burst of pure, unadulterated joy was...intense.  It felt almost unfair, somehow, to be so close to such unbridled happiness while carrying this quieter, persistent ache.

Back home, I peeled the squash.  The scent filled the kitchen, familiar and grounding.  It wasn't exactly Grandma Rose's pie, but it felt...close enough.  There's a quiet satisfaction in simple tasks, in the methodical chopping and stirring.  It's a kind of meditation, a way to focus on the present, to avoid the swirling vortex of thoughts and memories.  But even that calm is fragile, I know. I can feel the anxiety creeping in, a low thrum beneath the surface, a worry about...everything, really.  Work, the future, the relentless pressure of...being.  It's a dull ache, a background hum that threatens to overwhelm the quiet joy of the butternut squash.  Maybe tomorrow will be better. Maybe the sun will shine a little brighter. Or maybe it'll just be another day, filled with these quiet, complicated emotions, these layered feelings that I can't quite name.",0.05,0.0,0.15,0.2,0.4,0.3,0.0
"October 27th

The rain hammered against the windowpane all afternoon, a steady, rhythmic drumming that somehow both calmed and unsettled me.  It mirrored the feeling inside, a sort of quiet unease that clung to the edges of things. I spent the afternoon sorting through old photographs, a box my mother had given me last week.  There were pictures of me as a child, impossibly small in oversized sweaters, grinning at the camera with a confidence I rarely feel now.  A wave of nostalgia washed over me, bittersweet and tinged with something else... a sense of distance, perhaps, or a quiet longing for that carefree simplicity.  I felt a pang, a sharp, almost imperceptible stab of sadness, seeing my father in those photos, his smile so bright, so full of life.  It's been five years since he passed, and sometimes the grief feels like a phantom limb, a dull ache that only occasionally flares up.

Later, I made a pot of chamomile tea, the steam swirling in the air like a gentle mist.  The scent, familiar and comforting, settled something within me.  There was a brief moment of genuine peace, a quiet space where the anxieties that usually hummed beneath the surface seemed to fade, if only temporarily.  I listened to the rain, the rhythmic tapping a counterpoint to the gentle ticking of the grandfather clock in the hall, a clock that had also been my father's.  The familiar sound brought another wave of emotion, not entirely sad, but laced with a complex mixture of remembrance and acceptance.  It's strange, this mix of emotions.  I don't think I feel purely happy, or purely sad; it's more like the colours are all mixed together, swirled into an opaque blend.  

As the sun began to set, casting long shadows across the room, I heard the chirp of crickets outside, a tiny, optimistic sound against the backdrop of the rain. It was an unexpected moment of lightness, a small counterpoint to the day's somber undercurrents. I smiled, a small, almost imperceptible flicker of joy.  Perhaps tomorrow will be different. Perhaps the rain will stop, and the sun will shine. But even as I thought that, a small tremor of anxiety crept in.  What if it doesn't?  What if this quiet unease is the new normal?  The question hung in the air, unanswered, a subtle shadow at the edge of the fading light.",0.0,0.0,0.1,0.15,0.5,0.2,0.05
